406,158,1147,140,1151,327,411,345
203,543,875,535,877,711,205,719
1294,561,1895,570,1893,707,1292,697
702,55,1276,47,1277,136,703,143
124,853,777,838,779,934,126,949
198,959,851,949,853,1040,200,1051
676,352,1469,375,1465,513,672,490
215,735,833,726,834,830,216,840
1218,374,1933,367,1934,536,1220,543
1228,853,1754,857,1754,941,1227,937
250,1065,761,1055,762,1129,251,1139
175,355,975,344,978,539,178,550
256,65,880,55,881,131,258,142
1088,964,1533,957,1534,1040,1089,1047
1330,741,1884,731,1886,826,1332,836
1308,1071,1546,1062,1548,1123,1310,1131
679,951,1232,947,1233,1043,679,1047
