547,1621,1085,1612,1086,1685,548,1694
483,588,1073,581,1074,686,484,693
576,1715,1026,1709,1027,1764,577,1770
660,860,1266,842,1269,920,663,939
846,423,1426,415,1427,543,848,551
419,1076,929,1067,931,1147,421,1157
362,738,1018,724,1020,816,364,829
364,1508,876,1499,878,1575,366,1584
770,1500,1328,1491,1329,1567,771,1577
280,436,704,419,710,554,286,571
338,1194,816,1186,817,1258,339,1267
860,1290,1448,1276,1450,1356,862,1370
851,964,1388,956,1390,1034,852,1042
869,1189,1376,1178,1378,1256,870,1267
304,969,864,958,865,1034,305,1045
811,1395,1300,1383,1302,1452,813,1464
844,260,1412,242,1417,391,848,408
256,265,732,248,738,395,261,412
245,861,849,848,851,931,246,944
246,1398,701,1389,703,1460,247,1469
477,1297,777,1294,778,1361,478,1364
233,1289,524,1282,526,1364,235,1372
898,732,1457,733,1457,821,897,820
