386,671,940,667,940,750,386,754
330,468,988,460,989,548,331,556
308,364,975,356,976,447,309,455
292,252,966,246,967,354,293,359
383,1477,899,1483,898,1562,382,1556
325,566,981,561,982,656,326,661
363,1318,969,1312,969,1383,364,1388
367,1401,924,1396,925,1465,367,1470
498,1231,1067,1225,1068,1299,499,1305
753,764,1101,769,1100,849,752,844
234,775,501,772,502,847,235,851
813,1047,1124,1050,1123,1121,812,1118
717,1139,1125,1142,1125,1211,716,1208
210,1052,478,1054,477,1116,210,1113
844,866,1118,865,1119,942,844,944
843,961,1117,958,1118,1031,844,1034
226,869,473,868,473,942,226,943
230,958,467,957,467,1033,231,1034
242,1138,527,1141,527,1200,241,1196
