437,1172,1117,1160,1119,1249,439,1260
387,1303,1054,1292,1055,1379,389,1390
525,765,1190,756,1192,848,526,857
835,142,1447,131,1450,298,838,308
607,629,1260,620,1261,711,609,720
785,340,1427,331,1429,442,787,451
312,1433,920,1424,921,1512,313,1520
683,494,1334,484,1335,576,684,586
215,1568,799,1558,800,1643,217,1653
440,903,1118,893,1119,981,442,992
178,1701,614,1693,615,1774,179,1782
134,1843,371,1829,375,1900,138,1914
246,1033,920,1024,921,1117,247,1126
692,1035,1369,1024,1371,1115,694,1127
