232,235,721,202,726,279,237,311
281,331,769,306,773,372,284,397
276,428,752,404,755,463,279,487
253,762,740,744,742,796,255,814
301,1570,671,1580,669,1627,300,1617
260,1061,761,1052,762,1104,261,1114
272,840,763,824,764,874,274,890
265,913,770,901,771,952,266,964
266,987,759,978,759,1027,267,1036
353,510,787,488,790,548,356,569
326,676,780,662,782,714,328,728
273,1205,757,1199,758,1245,273,1251
379,594,796,578,798,630,381,646
251,1337,680,1340,679,1386,250,1383
265,1135,752,1128,752,1175,266,1182
259,1404,666,1408,665,1455,258,1450
247,1272,731,1268,732,1316,248,1320
265,1480,649,1477,650,1522,266,1525
500,1681,734,1688,732,1738,499,1732
