833,236,1382,209,1392,406,843,433
398,1310,1029,1302,1030,1382,399,1390
378,1435,990,1429,990,1507,379,1513
411,471,1157,476,1156,620,410,615
394,1561,987,1553,988,1623,395,1631
463,684,1182,687,1182,808,463,804
408,1668,987,1661,988,1736,409,1743
338,872,1050,863,1051,960,339,968
323,1023,1017,1017,1018,1105,324,1111
437,1785,920,1781,920,1845,438,1849
318,1168,990,1161,991,1245,319,1252
428,1888,689,1884,690,1941,430,1946
784,1024,1413,1028,1413,1120,783,1115
831,873,1448,876,1447,971,831,969
