450,313,1185,303,1187,481,452,490
509,844,1194,838,1195,959,510,966
532,682,1262,686,1261,812,531,807
517,109,1297,114,1295,280,515,274
475,510,1227,514,1226,653,474,650
338,1140,1050,1144,1049,1261,337,1256
394,1299,1123,1290,1124,1399,396,1408
405,1005,1127,994,1129,1104,407,1115
368,1439,1084,1429,1085,1545,370,1555
723,1585,1378,1577,1380,1687,724,1696
271,1585,948,1577,949,1689,272,1697
1272,1850,1503,1853,1502,1904,1271,1901
943,1440,1506,1434,1507,1540,944,1545
889,1156,1495,1137,1499,1259,892,1278
968,999,1507,1000,1507,1113,968,1112
