307,1676,827,1673,827,1759,307,1763
355,1592,849,1584,850,1643,356,1650
352,1335,891,1325,892,1384,353,1394
349,1420,870,1409,871,1469,350,1480
360,1176,899,1167,900,1225,361,1234
365,1100,888,1091,889,1147,366,1156
363,857,870,849,871,908,364,916
360,938,880,932,881,990,360,997
354,1253,876,1243,877,1300,355,1310
351,1506,848,1500,849,1557,352,1563
356,1019,869,1010,870,1069,357,1078
360,770,876,765,876,827,360,831
425,686,904,682,904,746,426,751
544,1797,772,1794,773,1858,545,1861
273,576,521,584,519,655,271,647
