273,191,870,180,872,276,275,287
302,521,778,513,779,588,303,596
304,1402,800,1393,801,1460,305,1468
313,1110,795,1105,796,1179,314,1184
319,702,863,693,864,763,320,771
301,621,841,610,843,676,303,687
301,314,759,307,760,384,303,390
315,794,824,783,825,840,316,851
291,872,840,863,841,926,292,935
293,1308,828,1301,829,1370,294,1377
243,1209,747,1204,748,1281,244,1286
312,955,790,946,791,1006,313,1015
363,416,812,413,812,491,363,494
377,1036,717,1034,718,1091,378,1093
240,1531,430,1529,430,1597,240,1599
